alarm_id,line_id,equipment_id,alarm_started_at,alarm_ended_at,duration_minutes,severity,alarm_code,alarm_name,alarm_category,error_value,normal_min,normal_max,requires_manual_intervention,recovery_action,resolution_status,resolution_note
ALM-000001,PL-SMT-01,EQ-SMT-L01-RTR01,2026-07-14T00:05:00+08:00,2026-07-14T00:33:00+08:00,28,WARNING,BLADE_WEAR,铣刀磨损超限,TOOLING,110,0,100,true,更换铣刀后复位设备,RESOLVED,更换铣刀后复位设备
ALM-000002,PL-SMT-08,EQ-SMT-L08-AOI01,2026-07-14T00:07:00+08:00,2026-07-14T00:32:00+08:00,25,WARNING,CAMERA_CALIBRATION,相机标定异常,CALIBRATION,11,0,5,true,执行相机标定后复位设备,RESOLVED,执行相机标定后复位设备
ALM-000003,PL-SMT-07,EQ-SMT-L07-MNT01,2026-07-14T00:08:00+08:00,2026-07-14T00:22:00+08:00,14,ERROR,FEEDER_JAM,供料器卡料,MECHANICAL,3,0,0,true,清理供料器并复位设备,RESOLVED,清理供料器并复位设备
ALM-000004,PL-SMT-09,EQ-SMT-L09-RTR01,2026-07-14T00:09:00+08:00,2026-07-14T00:31:00+08:00,22,WARNING,BLADE_WEAR,铣刀磨损超限,TOOLING,116,0,100,true,更换铣刀后复位设备,RESOLVED,更换铣刀后复位设备
ALM-000005,PL-SMT-14,EQ-SMT-L14-SPI01,2026-07-14T00:11:00+08:00,2026-07-14T00:30:00+08:00,19,WARNING,INSPECTION_DRIFT,检测基准漂移,CALIBRATION,21,0,15,true,重新校准检测基准,RESOLVED,重新校准检测基准
ALM-000006,PL-SMT-02,EQ-SMT-L02-SPI01,2026-07-14T00:12:00+08:00,2026-07-14T00:32:00+08:00,20,WARNING,INSPECTION_DRIFT,检测基准漂移,CALIBRATION,16,0,15,true,重新校准检测基准,RESOLVED,重新校准检测基准
ALM-000007,PL-SMT-08,EQ-SMT-L08-RFL01,2026-07-14T00:14:00+08:00,2026-07-14T00:33:00+08:00,19,WARNING,TEMPERATURE_DEVIATION,温区温度偏差,PROCESS,14,-5,5,true,检查温控回路并确认温区,RESOLVED,检查温控回路并确认温区
ALM-000008,PL-SMT-03,EQ-SMT-L03-SPI01,2026-07-14T08:05:00+08:00,2026-07-14T08:17:00+08:00,12,WARNING,INSPECTION_DRIFT,检测基准漂移,CALIBRATION,17,0,15,true,重新校准检测基准,RESOLVED,重新校准检测基准
ALM-000009,PL-SMT-08,EQ-SMT-L08-RTR01,2026-07-14T08:06:00+08:00,2026-07-14T08:27:00+08:00,21,WARNING,BLADE_WEAR,铣刀磨损超限,TOOLING,103,0,100,true,更换铣刀后复位设备,RESOLVED,更换铣刀后复位设备
ALM-000010,PL-SMT-01,EQ-SMT-L01-PRN01,2026-07-14T08:09:00+08:00,2026-07-14T08:28:00+08:00,19,WARNING,SOLDER_PASTE_LOW,锡膏余量低,CONSUMABLE,7,10,100,true,补充锡膏后复位设备,RESOLVED,补充锡膏后复位设备
ALM-000011,PL-SMT-09,EQ-SMT-L09-AOI01,2026-07-14T08:14:00+08:00,2026-07-14T08:36:00+08:00,22,WARNING,CAMERA_CALIBRATION,相机标定异常,CALIBRATION,10,0,5,true,执行相机标定后复位设备,RESOLVED,执行相机标定后复位设备
ALM-000012,PL-SMT-09,EQ-SMT-L09-PRN01,2026-07-14T16:06:00+08:00,2026-07-14T16:31:00+08:00,25,WARNING,SOLDER_PASTE_LOW,锡膏余量低,CONSUMABLE,4,10,100,true,补充锡膏后复位设备,RESOLVED,补充锡膏后复位设备
ALM-000013,PL-SMT-12,EQ-SMT-L12-RFL01,2026-07-14T16:06:00+08:00,2026-07-14T16:20:00+08:00,14,WARNING,TEMPERATURE_DEVIATION,温区温度偏差,PROCESS,14,-5,5,true,检查温控回路并确认温区,RESOLVED,检查温控回路并确认温区
ALM-000014,PL-SMT-04,EQ-SMT-L04-PRN01,2026-07-14T16:07:00+08:00,2026-07-14T16:32:00+08:00,25,WARNING,SOLDER_PASTE_LOW,锡膏余量低,CONSUMABLE,7,10,100,true,补充锡膏后复位设备,RESOLVED,补充锡膏后复位设备
ALM-000015,PL-SMT-02,EQ-SMT-L02-MNT01,2026-07-14T16:08:00+08:00,2026-07-14T16:34:00+08:00,26,ERROR,FEEDER_JAM,供料器卡料,MECHANICAL,2,0,0,true,清理供料器并复位设备,RESOLVED,清理供料器并复位设备
ALM-000016,PL-SMT-01,EQ-SMT-L01-AOI01,2026-07-14T16:09:00+08:00,2026-07-14T16:37:00+08:00,28,WARNING,CAMERA_CALIBRATION,相机标定异常,CALIBRATION,8,0,5,true,执行相机标定后复位设备,RESOLVED,执行相机标定后复位设备
ALM-000017,PL-SMT-05,EQ-SMT-L05-RFL01,2026-07-14T16:10:00+08:00,2026-07-14T16:26:00+08:00,16,WARNING,TEMPERATURE_DEVIATION,温区温度偏差,PROCESS,14,-5,5,true,检查温控回路并确认温区,RESOLVED,检查温控回路并确认温区
ALM-000018,PL-SMT-13,EQ-SMT-L13-PRN01,2026-07-14T16:11:00+08:00,2026-07-14T16:35:00+08:00,24,WARNING,SOLDER_PASTE_LOW,锡膏余量低,CONSUMABLE,5,10,100,true,补充锡膏后复位设备,RESOLVED,补充锡膏后复位设备
ALM-000019,PL-SMT-15,EQ-SMT-L15-SPI01,2026-07-14T16:11:00+08:00,2026-07-14T16:39:00+08:00,28,WARNING,INSPECTION_DRIFT,检测基准漂移,CALIBRATION,23,0,15,true,重新校准检测基准,RESOLVED,重新校准检测基准
ALM-000020,PL-SMT-10,EQ-SMT-L10-MNT01,2026-07-14T16:13:00+08:00,2026-07-14T16:27:00+08:00,14,ERROR,FEEDER_JAM,供料器卡料,MECHANICAL,2,0,0,true,清理供料器并复位设备,RESOLVED,清理供料器并复位设备
ALM-000021,PL-SMT-15,EQ-SMT-L15-MNT01,2026-07-14T16:14:00+08:00,2026-07-14T16:35:00+08:00,21,ERROR,FEEDER_JAM,供料器卡料,MECHANICAL,1,0,0,true,清理供料器并复位设备,RESOLVED,清理供料器并复位设备
ALM-000022,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-15T01:06:00+08:00,2026-07-15T01:50:00+08:00,44,ERROR,PCB_BARCODE_OUT_OF_RANGE,PCB板条形码读数非法,DATA_VALIDATION,27048,1,9999,true,人工确认异常PCB板并解除设备停机,RESOLVED,操作员移除异常PCB板并手工复位贴片机
ALM-000023,PL-SMT-04,EQ-SMT-L04-SPI01,2026-07-15T03:08:00+08:00,2026-07-15T03:34:00+08:00,26,WARNING,INSPECTION_DRIFT,检测基准漂移,CALIBRATION,22,0,15,true,重新校准检测基准,RESOLVED,重新校准检测基准
ALM-000024,PL-SMT-06,EQ-SMT-L06-RFL01,2026-07-15T03:08:00+08:00,2026-07-15T03:32:00+08:00,24,WARNING,TEMPERATURE_DEVIATION,温区温度偏差,PROCESS,14,-5,5,true,检查温控回路并确认温区,RESOLVED,检查温控回路并确认温区
ALM-000025,PL-SMT-02,EQ-SMT-L02-PRN01,2026-07-15T03:10:00+08:00,2026-07-15T03:36:00+08:00,26,WARNING,SOLDER_PASTE_LOW,锡膏余量低,CONSUMABLE,6,10,100,true,补充锡膏后复位设备,RESOLVED,补充锡膏后复位设备
ALM-000026,PL-SMT-11,EQ-SMT-L11-RTR01,2026-07-15T03:10:00+08:00,2026-07-15T03:28:00+08:00,18,WARNING,BLADE_WEAR,铣刀磨损超限,TOOLING,111,0,100,true,更换铣刀后复位设备,RESOLVED,更换铣刀后复位设备
ALM-000027,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-15T04:05:00+08:00,2026-07-15T04:55:00+08:00,50,ERROR,PCB_BARCODE_OUT_OF_RANGE,PCB板条形码读数非法,DATA_VALIDATION,50504,1,9999,true,人工确认异常PCB板并解除设备停机,RESOLVED,操作员移除异常PCB板并手工复位贴片机
ALM-000028,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-15T07:10:00+08:00,2026-07-15T07:52:00+08:00,42,ERROR,PCB_BARCODE_OUT_OF_RANGE,PCB板条形码读数非法,DATA_VALIDATION,49936,1,9999,true,人工确认异常PCB板并解除设备停机,RESOLVED,操作员移除异常PCB板并手工复位贴片机
ALM-000029,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-15T10:08:00+08:00,2026-07-15T10:50:00+08:00,42,ERROR,PCB_BARCODE_OUT_OF_RANGE,PCB板条形码读数非法,DATA_VALIDATION,49555,1,9999,true,人工确认异常PCB板并解除设备停机,RESOLVED,操作员移除异常PCB板并手工复位贴片机
ALM-000030,PL-SMT-15,EQ-SMT-L15-PRN01,2026-07-15T11:07:00+08:00,2026-07-15T11:22:00+08:00,15,WARNING,SOLDER_PASTE_LOW,锡膏余量低,CONSUMABLE,9,10,100,true,补充锡膏后复位设备,RESOLVED,补充锡膏后复位设备
ALM-000031,PL-SMT-03,EQ-SMT-L03-AOI01,2026-07-15T11:13:00+08:00,2026-07-15T11:28:00+08:00,15,WARNING,CAMERA_CALIBRATION,相机标定异常,CALIBRATION,6,0,5,true,执行相机标定后复位设备,RESOLVED,执行相机标定后复位设备
ALM-000032,PL-SMT-14,EQ-SMT-L14-AOI01,2026-07-15T11:13:00+08:00,2026-07-15T11:38:00+08:00,25,WARNING,CAMERA_CALIBRATION,相机标定异常,CALIBRATION,9,0,5,true,执行相机标定后复位设备,RESOLVED,执行相机标定后复位设备
ALM-000033,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-15T13:05:00+08:00,2026-07-15T13:47:00+08:00,42,ERROR,PCB_BARCODE_OUT_OF_RANGE,PCB板条形码读数非法,DATA_VALIDATION,49967,1,9999,true,人工确认异常PCB板并解除设备停机,RESOLVED,操作员移除异常PCB板并手工复位贴片机
ALM-000034,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-15T16:06:00+08:00,2026-07-15T16:51:00+08:00,45,ERROR,PCB_BARCODE_OUT_OF_RANGE,PCB板条形码读数非法,DATA_VALIDATION,49342,1,9999,true,人工确认异常PCB板并解除设备停机,RESOLVED,操作员移除异常PCB板并手工复位贴片机
ALM-000035,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-15T19:05:00+08:00,2026-07-15T19:50:00+08:00,45,ERROR,PCB_BARCODE_OUT_OF_RANGE,PCB板条形码读数非法,DATA_VALIDATION,17572,1,9999,true,人工确认异常PCB板并解除设备停机,RESOLVED,操作员移除异常PCB板并手工复位贴片机
ALM-000036,PL-SMT-09,EQ-SMT-L09-MNT01,2026-07-15T19:07:00+08:00,2026-07-15T19:34:00+08:00,27,ERROR,FEEDER_JAM,供料器卡料,MECHANICAL,3,0,0,true,清理供料器并复位设备,RESOLVED,清理供料器并复位设备
ALM-000037,PL-SMT-06,EQ-SMT-L06-RTR01,2026-07-15T19:09:00+08:00,2026-07-15T19:28:00+08:00,19,WARNING,BLADE_WEAR,铣刀磨损超限,TOOLING,102,0,100,true,更换铣刀后复位设备,RESOLVED,更换铣刀后复位设备
ALM-000038,PL-SMT-11,EQ-SMT-L11-RFL01,2026-07-15T19:11:00+08:00,2026-07-15T19:32:00+08:00,21,WARNING,TEMPERATURE_DEVIATION,温区温度偏差,PROCESS,15,-5,5,true,检查温控回路并确认温区,RESOLVED,检查温控回路并确认温区
ALM-000039,PL-SMT-13,EQ-SMT-L13-SPI01,2026-07-15T19:13:00+08:00,2026-07-15T19:33:00+08:00,20,WARNING,INSPECTION_DRIFT,检测基准漂移,CALIBRATION,25,0,15,true,重新校准检测基准,RESOLVED,重新校准检测基准
ALM-000040,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-15T22:11:00+08:00,2026-07-15T22:59:00+08:00,48,ERROR,PCB_BARCODE_OUT_OF_RANGE,PCB板条形码读数非法,DATA_VALIDATION,57697,1,9999,true,人工确认异常PCB板并解除设备停机,RESOLVED,操作员移除异常PCB板并手工复位贴片机
ALM-000041,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-16T01:07:00+08:00,2026-07-16T01:57:00+08:00,50,ERROR,PCB_BARCODE_OUT_OF_RANGE,PCB板条形码读数非法,DATA_VALIDATION,10853,1,9999,true,人工确认异常PCB板并解除设备停机,RESOLVED,操作员移除异常PCB板并手工复位贴片机
ALM-000042,PL-SMT-01,EQ-SMT-L01-MNT01,2026-07-16T04:08:00+08:00,2026-07-16T04:52:00+08:00,44,ERROR,PCB_BARCODE_OUT_OF_RANGE,PCB板条形码读数非法,DATA_VALIDATION,11966,1,9999,true,人工确认异常PCB板并解除设备停机,RESOLVED,操作员移除异常PCB板并手工复位贴片机
ALM-000043,PL-SMT-03,EQ-SMT-L03-RTR01,2026-07-16T06:05:00+08:00,2026-07-16T06:30:00+08:00,25,WARNING,BLADE_WEAR,铣刀磨损超限,TOOLING,116,0,100,true,更换铣刀后复位设备,RESOLVED,更换铣刀后复位设备
ALM-000044,PL-SMT-10,EQ-SMT-L10-AOI01,2026-07-16T06:06:00+08:00,2026-07-16T06:26:00+08:00,20,WARNING,CAMERA_CALIBRATION,相机标定异常,CALIBRATION,6,0,5,true,执行相机标定后复位设备,RESOLVED,执行相机标定后复位设备
ALM-000045,PL-SMT-01,EQ-SMT-L01-SPI01,2026-07-16T06:07:00+08:00,2026-07-16T06:33:00+08:00,26,WARNING,INSPECTION_DRIFT,检测基准漂移,CALIBRATION,23,0,15,true,重新校准检测基准,RESOLVED,重新校准检测基准
