equipment_id,line_id,equipment_code,equipment_name,equipment_type,equipment_type_name,sequence_no,manufacturer,model,status,commissioned_on
EQ-SMT-L01-PRN01,PL-SMT-01,SMT01-PRN-01,产线1-锡膏印刷机,PRINTER,锡膏印刷机,1,华东智造,SP-800,ACTIVE,2024-01-15
EQ-SMT-L01-SPI01,PL-SMT-01,SMT01-SPI-01,产线1-锡膏检测仪,SPI,锡膏检测仪,2,精测科技,SPI-3D,ACTIVE,2024-02-15
EQ-SMT-L01-MNT01,PL-SMT-01,SMT01-MNT-01,产线1-贴片机,CHIP_MOUNTER,贴片机,3,迅装自动化,CM-X8,ACTIVE,2024-03-15
EQ-SMT-L01-RFL01,PL-SMT-01,SMT01-RFL-01,产线1-回流焊炉,REFLOW_OVEN,回流焊炉,4,热工智联,RF-10Z,ACTIVE,2024-04-15
EQ-SMT-L01-AOI01,PL-SMT-01,SMT01-AOI-01,产线1-自动光学检测仪,AOI,自动光学检测仪,5,精测科技,AOI-V5,ACTIVE,2024-05-15
EQ-SMT-L01-RTR01,PL-SMT-01,SMT01-RTR-01,产线1-分板机,ROUTER,分板机,6,华东智造,RT-600,ACTIVE,2024-06-15
EQ-SMT-L02-PRN01,PL-SMT-02,SMT02-PRN-01,产线2-锡膏印刷机,PRINTER,锡膏印刷机,1,华东智造,SP-800,ACTIVE,2024-02-15
EQ-SMT-L02-SPI01,PL-SMT-02,SMT02-SPI-01,产线2-锡膏检测仪,SPI,锡膏检测仪,2,精测科技,SPI-3D,ACTIVE,2024-03-15
EQ-SMT-L02-MNT01,PL-SMT-02,SMT02-MNT-01,产线2-贴片机,CHIP_MOUNTER,贴片机,3,迅装自动化,CM-X8,ACTIVE,2024-04-15
EQ-SMT-L02-RFL01,PL-SMT-02,SMT02-RFL-01,产线2-回流焊炉,REFLOW_OVEN,回流焊炉,4,热工智联,RF-10Z,ACTIVE,2024-05-15
EQ-SMT-L02-AOI01,PL-SMT-02,SMT02-AOI-01,产线2-自动光学检测仪,AOI,自动光学检测仪,5,精测科技,AOI-V5,ACTIVE,2024-06-15
EQ-SMT-L02-RTR01,PL-SMT-02,SMT02-RTR-01,产线2-分板机,ROUTER,分板机,6,华东智造,RT-600,ACTIVE,2024-07-15
EQ-SMT-L03-PRN01,PL-SMT-03,SMT03-PRN-01,产线3-锡膏印刷机,PRINTER,锡膏印刷机,1,华东智造,SP-800,ACTIVE,2024-03-15
EQ-SMT-L03-SPI01,PL-SMT-03,SMT03-SPI-01,产线3-锡膏检测仪,SPI,锡膏检测仪,2,精测科技,SPI-3D,ACTIVE,2024-04-15
EQ-SMT-L03-MNT01,PL-SMT-03,SMT03-MNT-01,产线3-贴片机,CHIP_MOUNTER,贴片机,3,迅装自动化,CM-X8,ACTIVE,2024-05-15
EQ-SMT-L03-RFL01,PL-SMT-03,SMT03-RFL-01,产线3-回流焊炉,REFLOW_OVEN,回流焊炉,4,热工智联,RF-10Z,ACTIVE,2024-06-15
EQ-SMT-L03-AOI01,PL-SMT-03,SMT03-AOI-01,产线3-自动光学检测仪,AOI,自动光学检测仪,5,精测科技,AOI-V5,ACTIVE,2024-07-15
EQ-SMT-L03-RTR01,PL-SMT-03,SMT03-RTR-01,产线3-分板机,ROUTER,分板机,6,华东智造,RT-600,ACTIVE,2024-08-15
EQ-SMT-L04-PRN01,PL-SMT-04,SMT04-PRN-01,产线4-锡膏印刷机,PRINTER,锡膏印刷机,1,华东智造,SP-800,ACTIVE,2024-04-15
